TXnid;RXnid;RSS;SNR;BER
2;3;-65.386945;38.613055;0.000021
2;1;-75.130384;28.869616;0.000194
2;3;-79.037043;24.962957;0.000478
2;1;-72.854750;31.145250;0.000115
2;3;-68.748605;35.251395;0.000045
2;3;-66.370861;37.629139;0.000026
2;1;-81.281117;22.718883;0.000800
2;3;-76.448582;27.551418;0.000263
2;1;-73.233889;30.766111;0.000126
3;2;-65.726171;38.273829;0.000022
2;3;-78.098061;25.901939;0.000385
2;3;-69.822610;34.177390;0.000057
2;1;-70.466867;33.533133;0.000066
2;3;-77.795786;26.204214;0.000359
2;1;-72.881135;31.118865;0.000116
3;2;-80.457226;23.542774;0.000662
2;3;-66.854876;37.145124;0.000029
2;3;-71.776802;32.223198;0.000090
2;1;-73.247988;30.752012;0.000126
2;3;-64.440037;39.559963;0.000017
2;1;-69.676854;34.323146;0.000055
2;3;-56.347536;47.652464;0.000003
3;2;-70.432213;33.567787;0.000066
2;3;-68.021188;35.978812;0.000038
2;1;-77.044652;26.955348;0.000302
2;3;-72.868069;31.131931;0.000116
2;1;-64.682167;39.317833;0.000018
3;2;-61.970939;42.029061;0.000009
2;3;-72.054036;31.945964;0.000096
2;3;-75.511841;28.488159;0.000212
2;1;-78.674693;25.325307;0.000440
2;3;-73.917357;30.082643;0.000147
2;1;-74.386363;29.613637;0.000164
3;2;-74.309890;29.690110;0.000161
2;3;-67.605123;36.394877;0.000034
2;3;-67.445319;36.554681;0.000033
2;1;-72.577990;31.422010;0.000108
2;3;-68.189940;35.810060;0.000039
2;1;-73.309396;30.690604;0.000128
2;3;-71.237250;32.762750;0.000079
3;2;-75.435785;28.564215;0.000209
2;3;-68.429021;35.570979;0.000042
2;1;-71.775010;32.224990;0.000090
2;3;-71.935462;32.064538;0.000093
2;1;-73.582536;30.417464;0.000136
2;3;-74.259548;29.740452;0.000159
3;2;-70.937538;33.062462;0.000074
2;3;-83.868943;20.131057;0.000305
2;1;-77.084171;26.915829;0.000305
2;3;-61.440158;42.559842;0.000008
2;1;-78.617963;25.382037;0.000434
2;3;-63.987770;40.012230;0.000015
3;2;-75.286293;28.713707;0.000202
2;3;-65.764485;38.235515;0.000023
2;1;-72.696757;31.303243;0.000111
2;3;-63.870934;40.129066;0.000015
2;1;-68.641263;35.358737;0.000044
2;3;-65.302133;38.697867;0.000020
3;2;-61.727249;42.272751;0.000009
2;3;-68.636925;35.363075;0.000044
2;1;-72.660634;31.339366;0.000110
2;3;-59.710841;44.289159;0.000006
2;1;-75.870821;28.129179;0.000231
3;2;-65.087431;38.912569;0.000019
2;3;-61.404505;42.595495;0.000008
2;3;-68.796411;35.203589;0.000045
2;1;-72.608724;31.391276;0.000109
2;3;-66.135547;37.864453;0.000025
2;1;-79.769741;24.230259;0.000565
2;3;-61.569503;42.430497;0.000009
3;2;-73.473387;30.526613;0.000133
2;3;-61.394327;42.605673;0.000008
2;1;-71.981966;32.018034;0.000094
2;3;-64.923432;39.076568;0.000019
2;1;-68.909334;35.090666;0.000046
2;3;-63.335836;40.664164;0.000013
3;2;-70.427684;33.572316;0.000066
2;3;-71.664305;32.335695;0.000088
2;1;-79.485582;24.514418;0.000530
2;3;-68.614275;35.385725;0.000043
2;1;-71.806176;32.193824;0.000090
3;2;-58.960758;45.039242;0.000005
2;3;-64.503085;39.496915;0.000017
2;3;-60.908102;43.091898;0.000007
2;1;-68.371121;35.628879;0.000041
2;3;-62.412264;41.587736;0.000010
2;1;-72.460589;31.539411;0.000105
2;3;-67.510908;36.489092;0.000034
3;2;-66.638555;37.361445;0.000028
2;3;-72.131874;31.868126;0.000098
2;1;-75.640466;28.359534;0.000219
2;3;-68.902693;35.097307;0.000046
2;1;-76.983808;27.016192;0.000298
2;3;-74.120276;29.879724;0.000154
3;2;-74.381549;29.618451;0.000164
2;3;-65.135719;38.864281;0.000019
2;1;-73.066711;30.933289;0.000121
2;3;-70.125916;33.874084;0.000061
2;1;-80.663478;23.336522;0.000694
2;3;-66.554510;37.445490;0.000027
3;2;-64.310884;39.689116;0.000016
2;3;-63.181078;40.818922;0.000012
2;1;-74.913379;29.086621;0.000185
2;3;-66.595709;37.404291;0.000027
2;1;-76.685082;27.314918;0.000278
2;3;-71.610374;32.389626;0.000086
3;2;-61.896420;42.103580;0.000009
2;3;-63.934629;40.065371;0.000015
2;1;-67.534370;36.465630;0.000034
2;3;-57.200960;46.799040;0.000003
2;1;-73.393238;30.606762;0.000130
2;3;-68.717355;35.282645;0.000044
3;2;-72.894148;31.105852;0.000116
2;3;-65.887467;38.112533;0.000023
2;1;-77.781814;26.218186;0.000358
2;3;-66.034371;37.965629;0.000024
2;1;-70.689997;33.310003;0.000070
2;3;-62.905434;41.094566;0.000012
3;2;-72.815029;31.184971;0.000114
2;3;-75.853426;28.146574;0.000230
2;1;-73.053276;30.946724;0.000121
2;3;-65.433989;38.566011;0.000021 
2;1;-68.217250;35.782750;0.000040
2;3;-77.978135;26.021865;0.000374
3;2;-66.811433;37.188567;0.000029
2;3;-68.256687;35.743313;0.000040
2;1;-69.398493;34.601507;0.000052
2;3;-68.818680;35.181320;0.000045
2;1;-69.894937;34.105063;0.000058
2;3;-67.099473;36.900527;0.000031
3;2;-68.621459;35.378541;0.000043
2;3;-65.659238;38.340762;0.000022
2;1;-65.926183;38.073817;0.000023
2;3;-67.377191;36.622809;0.000033
2;1;-71.737501;32.262499;0.000089
3;2;-70.852087;33.147913;0.000073
2;3;-64.911816;39.088184;0.000019
2;3;-74.662110;29.337890;0.000175
2;1;-76.962841;27.037159;0.000296
2;3;-67.576194;36.423806;0.000034
2;1;-74.848200;29.151800;0.000182
3;2;-72.492826;31.507174;0.000106
2;3;-61.217374;42.782626;0.000008
2;3;-62.464937;41.535063;0.000011
2;1;-73.638398;30.361602;0.000138
2;3;-68.596824;35.403176;0.000043
2;1;-74.799796;29.200204;0.000180
2;3;-67.459995;36.540005;0.000033
3;2;-63.675908;40.324092;0.000014
2;3;-64.159070;39.840930;0.000016
2;1;-74.821703;29.178297;0.000181
2;3;-71.000779;32.999221;0.000075
2;1;-75.739505;28.260495;0.000224
3;2;-65.263860;38.736140;0.000020
2;3;-64.231215;39.768785;0.000016
2;3;-59.024725;44.975275;0.000005
2;1;-66.755819;37.244181;0.000028
2;3;-67.425146;36.574854;0.000033
2;1;-78.290217;25.709783;0.000402
2;3;-64.799153;39.200847;0.000018
3;2;-66.098237;37.901763;0.000024
2;3;-62.488559;41.511441;0.000011
2;1;-77.534406;26.465594;0.000338
2;3;-84.680129;19.319871;0.000040
2;1;-68.262738;35.737262;0.000040
3;2;-61.625412;42.374588;0.000009
2;3;-70.897439;33.102561;0.000073
2;3;-63.261424;40.738576;0.000013
2;1;-69.634042;34.365958;0.000055
2;3;-61.146582;42.853418;0.000008
2;1;-76.020802;27.979198;0.000239
3;2;-65.624699;38.375301;0.000022
2;3;-65.433495;38.566505;0.000021
2;3;-67.394715;36.605285;0.000033
2;1;-73.845940;30.154060;0.000145
2;3;-60.424560;43.575440;0.000007
2;1;-71.479269;32.520731;0.000084
2;3;-60.290455;43.709545;0.000006
3;2;-75.399864;28.600136;0.000207
2;3;-67.365639;36.634361;0.000033
2;1;-62.974641;41.025359;0.000012
2;3;-69.868680;34.131320;0.000058
2;1;-71.320115;32.679885;0.000081
3;2;-66.017520;37.982480;0.000024
2;3;-69.104469;34.895531;0.000049
2;3;-65.264108;38.735892;0.000020
2;1;-78.144809;25.855191;0.000389
2;3;-65.817829;38.182171;0.000023
2;1;-74.866456;29.133544;0.000183
2;3;-65.669006;38.330994;0.000022
3;2;-66.903009;37.096991;0.000029
